BS6_1	BS6_2	BS6_3	BS6_4	BS6_5	BS6_6	BS6_7	BS6_8	BS6_9	BS6_10	BS6_11	BS6_12	BS6_13	BS6_14	BS6_15	BS6_16	BS6_17	BS6_18	BS6_19	BS6_20	BS6_21	BS6_22	BS6_23	BS6_24	BS6_25	BS6_26	BS6_27	BS6_28	BS6_29	BS6_30	BS6_31	BS6_32	BS6_33	BS6_34	BS6_35	BS6_36	BS6_37	BS6_38	BS6_39	BS6_40	BS6_41	BS6_42	BS6_43	BS6_44	BS6_45	BS6_46	BS6_47	BS6_48	BS6_49	BS6_50
-.028001964	.17866348	-.23556273	-.24820313	-.11151347	.10301264	-.13034748	-.20769332	-.13702692	-.095650934	-.044842072	-.039678663	-.053630091	-.12648425	.033267602	.027377915	.045067094	.010323931	-.10949811	-.14793546	-.017575027	-.080630228	.3184351	-.19806914	.0014657163	-.0076702614	-.31254074	-.05972144	.023641322	.027859861	.095958814	-.013589141	.23800339	.19640207	.069504887	-.47872961	-.18930301	-.3126148	-.14520493	.68615234	.31918871	-.65020001	.0084293541	-.06300763	.11319502	.36417636	-.21751513	-.094413884	.24193925	.067170531
.066773973	.1240537	-1.425508	-.025525946	-.047527481	-.058159653	.062175333	.0050838497	.094490454	.073339812	-.047456797	.062613398	.055992339	-.069216877	.072611034	.032807048	.041501477	-.099193074	.096280746	.16412619	.083386958	.027240381	-.0061086868	.22785592	.065107435	-.20443705	.09408956	-.067130871	-.097100392	-.087053314	.095682323	.27817431	-.0016213835	.24342224	.10698916	-.265993	-.13966	.38800463	.24296223	.78416485	.30095193	.072152659	.21819419	-.16695233	.12721986	.02672752	.40498847	.23475401	.076244287	-.12677719
.13842353	.39410868	-.64595908	.21113724	-.022040566	.16772257	-.06658864	-.0013513169	-.26568979	.26942432	.053584315	.027927093	.0029937376	-.053701703	.067340322	.052379984	.21256927	-.049779002	.071516044	-.058363989	-.24673288	.036108885	.28390712	.053084426	.14947151	.052347075	-.011671857	-.022702035	-.18269412	-.2402564	.16195872	.17253104	-.15703836	.35103554	-.082951479	-.6751377	-.12756142	.16225952	-.27864081	.30195904	.098820478	-.2436049	.28906873	-.11998375	.16382189	.35542572	-.19811201	.016303504	.19735366	-.082809865
.094225146	.76708853	-.1882313	-.3855705	-.073374741	-.065967873	-.0022688275	-.027468981	.15501107	-.095751695	.042819023	-.12908427	-.039156374	-.031068785	.088691197	.069166511	.023328487	-.15128422	-.073667869	-.0015560975	.11882982	-.048696022	-.086913347	.074683994	-.20725888	-.15813014	.17391467	.098517068	-.17772838	.055530738	-.050227869	.20666708	.024039235	.23336819	.068903878	.077010207	-.24528392	.096657023	.048569821	.65310907	.17170833	.13041981	.71374518	-.2255296	.18414325	.22585727	-.14156695	.12171315	-.35957915	.23533846
.12897928	.11810987	-.85052806	-.44593877	-.10255314	.13447876	.024035625	-.1316437	-.16265197	-.051419847	-.041370697	-.11028165	.0096383626	.0017765708	.13437811	.0066102175	.012302039	.00023445669	-.13238132	-.25497243	.098907053	-.19744548	.35133654	.22421321	.074051589	-.14639939	.18966582	-.064136453	-.057673424	-.091694348	.18473609	.026279967	.12273981	.40927729	-.0098376507	-.13642482	.056997262	.14287406	.12805223	.32775709	.15535054	-.48282954	.29738539	.22123346	.16318139	.0029415654	.15475418	.30343872	.0031457338	.17829664
.053073462	.34414363	-.34483489	-.58681238	-.061493739	-.22573991	.081051171	-.20964096	.29977116	-.0011404175	-.057607576	-.021536045	.026714969	.0049242801	.1458146	-.026594082	-.28527808	-.12975977	-.17815922	-.038869046	.24285804	-.11657168	-.048585419	.1126818	.0038898226	-.30177045	.13665117	-.088975698	-.022088844	.10871875	-.0066123083	-.024942439	.072478272	.25888219	.076267801	-.21571703	-.10505919	.067347772	-.075034469	.41174793	-.091485761	-.23209675	-.0042790314	.096038371	.078793861	.13590781	-.080204576	-.328729	.072129533	.12758271
.080042101	.3896887	-.46203506	.43758842	.0039535095	-.01862371	.11334734	-.016235743	-.08388605	-.14446925	.042736329	-.078660652	.061999545	.020601783	.079322778	-.032842238	.18233502	-.064693093	.10378958	.22903599	.39944848	.13493292	-.22496009	-.052450478	.030548533	.10566568	.0036397714	.16692322	-.04948429	-.086895838	.27828717	-.092947058	.0049946737	.31070098	-.020202499	.17172888	.011760253	-.10755753	.36723715	.74190378	-.081005424	-.13594177	.075984083	-.020237761	.097432993	.19405012	.16966239	.10261884	-.081186771	.87847167
.0070902607	-.32437646	-.67933184	-.94652736	-.095095642	.15990058	.076792635	-.088356182	-.23278588	-.33566931	-.050185733	.03746783	-.025223345	-.039791372	.14266312	-.054564804	.33361241	-.20576827	.0022385288	.071427859	.19845292	-.057782512	-.045624148	-.1504761	.099917747	-.17909509	-.0074890503	.062837265	-.35717309	-.083346233	-.30560991	.044307087	.061421625	.53690267	.032515168	-.30299932	.075864308	-.207901	-.035365123	.64663702	.070696361	-.28862762	.1747824	.052264906	.11863487	.68200874	.13481495	.038310673	-.092111006	.097201213
.070170231	.57374436	-.015373862	.16553085	-.15006934	.0098213619	-.11854202	-.221112	-.57887048	-.33713725	-.042655241	-.19663803	-.058499664	-.075862698	.00170026	.0092556393	.074476048	-.057130508	-.10113802	-.032716706	-.20502928	-.076118693	.006553256	.2973839	.075286947	.10008196	.014074415	.036552034	-.25812933	-.053694684	-.20348297	.066171288	.050883923	.29794714	.22851969	-.25082755	.14446838	-.037080433	.070639096	.84463918	-.10998056	-.4238086	.16352336	-.0016663143	.060613483	.24110681	-.29614609	-.06007975	-.026547361	.46844789
.0035105001	.24535634	-.088001534	-.63142461	-.098185614	-.092234679	-.11675608	-.14454895	.1633348	-.10704908	-.13294666	.0043225815	-.075221397	-.074570239	.054235358	.070390061	.036155935	-.21179418	-.14331827	.019656198	-.25042173	-.18591078	-.32209995	.034287918	-.23867652	-.05738413	-.17540811	.027510144	-.01051822	-.11526535	-.0059058196	.16981184	-.070220105	.014212897	-.13878696	-.21519676	-.031081786	.039609533	.087556496	.76567167	.2427769	-.10270815	.1597852	-.15835294	-.038164608	-.018129835	.32292673	.17477429	.53170878	.098933958
