BS1_1	BS1_2	BS1_3	BS1_4	BS1_5	BS1_6	BS1_7	BS1_8	BS1_9	BS1_10	BS1_11	BS1_12	BS1_13	BS1_14	BS1_15	BS1_16	BS1_17	BS1_18	BS1_19	BS1_20	BS1_21	BS1_22	BS1_23	BS1_24	BS1_25	BS1_26	BS1_27	BS1_28	BS1_29	BS1_30	BS1_31	BS1_32	BS1_33	BS1_34	BS1_35	BS1_36	BS1_37	BS1_38	BS1_39	BS1_40	BS1_41	BS1_42	BS1_43	BS1_44	BS1_45	BS1_46	BS1_47	BS1_48	BS1_49	BS1_50
-1	-4.94204	-1	-1	-1	-1	-1	-1	-2.7958796	-7.7805686	-1.6006726	-16.299158	-1	-1	-2.5435753	-1.277841	-4.0943823	-6.2502904	-3.6260262	-2.4865277	-3.0457573	-1	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-3.565567	-1	-1	-4.1789703	-1.207765	-1	-4.4191637	-1	-7.1091557	-3.1653025	-6.8239403	-4.5895729	-4.158226	-3.6473515	-1.2175113	-14.142438	-8.1485357	-11.991773	-9.381217	-3.8816392	-9.5328121	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-7.4541082	-1	-1	-1	-1	-1	-1	-1	-6.1999626	-1.0637103	-6.6766624	-1	-1	-1.4878731	-2.3301592	-4.3041224	-6.5661321	-1.422067	-3.8275514	-1	-1	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1	-1.220917	-1	-1.5813134	-1.1463912	-1	-1	-2.9793508	-10.012607	-1	-25.061188	-1.4836863	-1.4606624	-1	-3.1186659	-1	-5.0578094	-1	-1	-1	-1.986532	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1	-1	-1	-1.1260023	-1	-1	-1	-2.7291689	-8.9001427	-2.1233907	-10.277951	-1.6052788	-1	-1.9197143	-1.0200635	-3.9885011	-2.6999476	-2.7296662	-4.1841569	-1.7808876	-2.5003116	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1.5942363	-1	-1	-2.0500412	-1.3560948	-1	-1	-1	-7.8321648	-2.9814041	-15.949653	-5.4898458	-3.5566206	-1	-3.9968474	-6.3396544	-8.7156487	-7.5417666	-5.5339642	-8.1067514	-9.4451809	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1	-3.8675487	-1	-1	-1	-1	-1	-1	-8.1650238	-2.1982367	-11.312992	-1	-1	-2.550545	-2.6632388	-2.5814042	-5.1796465	-2.9662173	-2.2421093	-5.0008945	-1.7715958	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1.723376	-8.4312439	-1	-4.9176812	-3.5616622	-3.5331509	-2.3272913	-2.2866776	-1	-9.3090925	-4.7542973	-4.7575583	-4.9240403	-5.1594601	-1	-1	-12.622176	-5.7289505	-15.103467	-7.1678023	-1	-13.073222	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1	-1	-1	-1	-1	-1	-1	-3.365128	-9.4110937	-1.5760427	-11.751842	-2.7261426	-1.6862903	-3.2823284	-3.9885807	-1	-13.361562	-1.4068633	-7.9143758	-7.3244133	-1	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1	-1	-1	-2.6103885	-1	-1	-1	-2.2316518	-1	-2.7947943	-17.022223	-1	-3.0068331	-4.3651109	-2.1021197	-5.0330925	-5.190434	-4.7841797	-1	-1	-4.6663246	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
